ASCII SAMPLE CYCLES :			21082026  zz20 monoliths 1st.mdc
DATE :	21/08/2026	TIME :	12:05:33
CONVERTED CYCLES :			9750
Number of stored cycles			9750
Printed start cycle			1
Printed end cycle			9750
Number of stored datablocks			1
Datablock 0	Ion Current	[A]	
'0/0'	14.13	min:	1.68131E-010	max:	3.40415E-010	
'0/1'	16.13	min:	-5.87995E-013	max:	9.41275E-011	
'0/2'	18.16	min:	2.43818E-012	max:	2.42057E-011	
'0/3'	28.19	min:	2.87695E-009	max:	4.88846E-009	
'0/4'	32.22	min:	-6.73765E-013	max:	1.83888E-013	
'0/5'	40.22	min:	-8.66422E-013	max:	-5.88922E-013	
'0/6'	44.28	min:	-9.21663E-013	max:	1.14578E-009	
Cycle	Date	Time	RelTime[s]	'0/0'	'0/1'	'0/2'	'0/3'	'0/4'	'0/5'	'0/6'	
132	21/08/2026	12:07:18:52	105.523	2.16921E-010	5.81971E-011	3.44826E-012	3.48331E-009	-6.40095E-013	-8.16372E-013	7.26764E-010	
133	21/08/2026	12:07:19:34	106.342	2.1705E-010	5.81489E-011	3.47607E-012	3.48424E-009	-6.42124E-013	-7.88752E-013	7.26782E-010	
134	21/08/2026	12:07:20:15	107.152	2.172E-010	5.81865E-011	3.44011E-012	3.48476E-009	-5.91332E-013	-7.97464E-013	7.2706E-010	
135	21/08/2026	12:07:20:95	107.952	2.17199E-010	5.81748E-011	3.3984E-012	3.48419E-009	-6.04423E-013	-7.88937E-013	7.27048E-010	
136	21/08/2026	12:07:21:75	108.752	2.17254E-010	5.82101E-011	3.44938E-012	3.48478E-009	-6.17709E-013	-7.96723E-013	7.27142E-010	
137	21/08/2026	12:07:22:55	109.552	2.17125E-010	5.82082E-011	3.42546E-012	3.48439E-009	-5.87439E-013	-7.83191E-013	7.27561E-010	
138	21/08/2026	12:07:23:36	110.362	2.17273E-010	5.81767E-011	3.37968E-012	3.48441E-009	-6.06162E-013	-7.90976E-013	7.27579E-010	
139	21/08/2026	12:07:24:16	111.162	2.17087E-010	5.81909E-011	3.44771E-012	3.48478E-009	-6.20991E-013	-7.63912E-013	7.2745E-010	
140	21/08/2026	12:07:24:96	111.962	2.17163E-010	5.82416E-011	3.35632E-012	3.48512E-009	-5.72391E-013	-8.08081E-013	7.27635E-010	
141	21/08/2026	12:07:25:76	112.761	2.17125E-010	5.81878E-011	3.37677E-012	3.48589E-009	-6.01342E-013	-7.70956E-013	7.27617E-010	
142	21/08/2026	12:07:26:57	113.571	2.17148E-010	5.82063E-011	3.36522E-012	3.48571E-009	-5.94854E-013	-7.79483E-013	7.27932E-010	
143	21/08/2026	12:07:27:37	114.371	2.1718E-010	5.8236E-011	3.32314E-012	3.48621E-009	-6.30074E-013	-7.93942E-013	7.27839E-010	
144	21/08/2026	12:07:28:18	115.181	2.17236E-010	5.82064E-011	3.33519E-012	3.48756E-009	-6.33967E-013	-7.67249E-013	7.27857E-010	
145	21/08/2026	12:07:28:98	115.981	2.17291E-010	5.81804E-011	3.34655E-012	3.48701E-009	-5.85495E-013	-7.84488E-013	7.27876E-010	
146	21/08/2026	12:07:29:79	116.791	2.17255E-010	5.81915E-011	3.30104E-012	3.48849E-009	-6.12613E-013	-7.76888E-013	7.27894E-010	
147	21/08/2026	12:07:30:59	117.591	2.17338E-010	5.82261E-011	3.30164E-012	3.48756E-009	-5.8781E-013	-7.74293E-013	7.28024E-010	
148	21/08/2026	12:07:31:40	118.401	2.17358E-010	5.81989E-011	3.29496E-012	3.48923E-009	-6.20806E-013	-7.60019E-013	7.28247E-010	
149	21/08/2026	12:07:32:20	119.2	2.17331E-010	5.82109E-011	3.30015E-012	3.4884E-009	-6.24625E-013	-7.78742E-013	7.28313E-010	
150	21/08/2026	12:07:33:00	120	2.17384E-010	5.82064E-011	3.30164E-012	3.4883E-009	-6.14874E-013	-7.82264E-013	7.2821E-010	
151	21/08/2026	12:07:33:80	120.8	2.17254E-010	5.81915E-011	3.27605E-012	3.48867E-009	-6.46283E-013	-7.95159E-013	7.28173E-010	
152	21/08/2026	12:07:34:62	121.62	2.17477E-010	5.82305E-011	3.28309E-012	3.49016E-009	-6.08015E-013	-7.83747E-013	7.28578E-010	
